Target_name,Group,Order,Family,Species
KOFB,Monocots,Asparagales,Hyacinthaceae,Urginea maritima
YJUG,Monocots,Asparagales,Hypoxidaceae,Curculigo sp.
LTZF,Monocots,Asparagales,Iridaceae,Sisyrinchium angustifolium
MUMD,Monocots,Asparagales,Laxmanniaceae,Lomandra longifolia
XZME,Monocots,Asparagales,Orchidaceae,Drakaea elastica
VTUS,Monocots,Asparagales,Orchidaceae,Goodyera pubescens
LELS,Monocots,Asparagales,Orchidaceae,Haemaria discolor
JSAG,Monocots,Asparagales,Orchidaceae,Masdevallia yuangensis
CNTZ,Monocots,Asparagales,Orchidaceae,Oncidium sphacelatum
MTHW,Monocots,Asparagales,Orchidaceae,Platanthera clavellata
THDM,Monocots,Asparagales,Orchidaceae,Vanilla planifolia
ONBE,Monocots,Asparagales,Ruscaceae,Eriospermum lancifolia
HOKG,Monocots,Asparagales,Ruscaceae,Nolina atopocarpa
RQZP,Monocots,Asparagales,Ruscaceae,Nolina bigelovii
TCYS,Monocots,Asparagales,Ruscaceae,Peliosanthes minor
LSJW,Monocots,Asparagales,Ruscaceae,Ruscus sp.
MVRF,Monocots,Asparagales,Ruscaceae,Sansevieria trifasciata
RDYY,Monocots,Asparagales,Tecophilaeaceae,Cyanastrum cordifolium
KYNE,Monocots,Asparagales,Tecophilaeaceae,Cyanella orchidiformis
IXEM,Monocots,Asparagales,Themidaceae,Brodiaea sierrae
WTDE,Monocots,Asparagales,Xanthorrhoeaceae,Johnsonia pubescens
SART,Monocots,Asparagales,Xeronemataceae,Xeronema callistemon
OCWZ,Monocots,Dioscoreales,Dioscoreaceae,Dioscorea villosa
QNPH,Monocots,Liliales,Colchicaceae,Colchicum autumnale
GDKK,Monocots,Liliales,Colchicaceae,Gloriosa superba
OOSO,Monocots,Liliales,Melanthiaceae,Helonias bullata
AFLV,Monocots,Liliales,Melanthiaceae,Xerophyllum asphodeloides
MWYQ,Monocots,Liliales,Smilacaceae,Smilax bona-nox
VVVV,Monocots,Pandanales,Cyclanthaceae,Ludovia sp.
DGXS,Monocots,Pandanales,Pandanaceae,Freycinetia multiflora
VBHQ,Monocots,Pandanales,Stemonaceae,Stemona tuberosa
SILJ,Monocots,Pandanales,Velloziaceae,Talbotia elegans
QOXT,Monocots,Pandanales,Velloziaceae,Xerophyta villosa
QGLJ,Monocots/Commelinids,Arecales,Arecaceae,Cocos nucifera
NSPR,Monocots/Commelinids,Arecales,Arecaceae,Nypa fruticans
HWUP,Monocots/Commelinids,Arecales,Arecaceae,Sabal bermudana
HXJE,Monocots/Commelinids,Arecales,Arecaceae,Serenoa repens
YMES,Monocots/Commelinids,Arecales,Arecaceae,Typhonium blumei
BYPY,Monocots/Commelinids,Poales,Bromeliaceae,Brocchinia reducta
PWSG,Monocots/Commelinids,Poales,Cyperaceae,Cyperus papyrus
WBIB,Monocots/Commelinids,Poales,Cyperaceae,Lepidosperma gibsonii
XPAF,Monocots/Commelinids,Poales,Cyperaceae,Mapania palustris
WXNT,Monocots/Commelinids,Poales,Joinvilleaceae,Joinvillea ascendens
CIEA,Monocots/Commelinids,Poales,Juncaceae,Juncus inflexus
HATH,Monocots/Commelinids,Poales,Poaceae,Aristida stricta
RMVB,Monocots/Commelinids,Poales,Poaceae,Avena fatua
ROEI,Monocots/Commelinids,Poales,Poaceae,Cymbopogon nardus
IADP,Monocots/Commelinids,Poales,Poaceae,Deschampsia cespitosa
EFCZ,Monocots/Commelinids,Poales,Poaceae,Eleusine coracana
YPIC,Monocots/Commelinids,Poales,Poaceae,Microstegium vimineum
ZENX,Monocots/Commelinids,Poales,Poaceae,Neurachne alopecuroidea
SOHV,Monocots/Commelinids,Poales,Poaceae,Panicum miliaceum
XUAB,Monocots/Commelinids,Poales,Poaceae,Paraneurachne muelleri
WCOR,Monocots/Commelinids,Poales,Poaceae,Thyridolepis multiculmis
YXNR,Monocots/Commelinids,Poales,Poaceae,Triodia aff. bynoei
GZSF,Monocots/Commelinids,Poales,Poaceae,Uniola paniculata
BSTR,Monocots/Commelinids,Poales,Restionaceae,Chondropetalum tectorum
PPQR,Monocots/Commelinids,Poales,Typhaceae,Typha angustifolia
BRUD,Monocots/Commelinids,Poales,Typhaceae,Typha latifolia
TZNS,Monocots/Commelinids,Zingiberales,Cannaceae,Canna sp.
XHHU,Monocots/Commelinids,Zingiberales,Heliconiaceae,Heliconia sp.
LSKK,Monocots/Commelinids,Zingiberales,Lowiaceae,Orchidantha maxillarioides
JNUB,Monocots/Commelinids,Zingiberales,Marantaceae,Maranta leuconeura
UOEL,Monocots/Commelinids,Zingiberales,Strelitziaceae,Strelitzia reginae
LEMW,Monocots/Commelinids,Zingiberales,Zingiberaceae,Curcuma longa
BDJQ,Monocots/Commelinids,Zingiberales,Zingiberaceae,Zingiber officinale
